108年,屏東縣,187529,75000,53207,24601,16014,3282,6261,2896,851,200,39,5178
108年,臺東縣,50891,17812,13513,13074,4903,84,587,143,60,95,300,319
108年,花蓮縣,74883,44605,9492,10287,7213,33,852,194,127,8,1113,959
108年,澎湖縣,22916,12456,5078,2304,1230,24,673,109,213,0,169,660
108年,基隆市,105655,63768,20762,9886,6579,504,2096,128,537,2,109,1282
108年,新竹市,105284,71990,8211,8687,5757,2979,1362,688,393,3,132,5083
108年,嘉義市,79221,22690,33719,13772,2873,777,1353,592,1198,49,858,1340
108年,金門縣,17181,9592,2347,1873,781,48,340,210,101,1,113,1776
108年,連江縣,4313,1228,1558,374,141,37,334,31,17,6,39,546
109年,新北市,874191,456686,237379,104767,34052,8319,12562,1850,2126,63,42,16345
109年,臺北市,495277,285096,158473,15897,4747,1176,1697,259,887,1,71,26973
109年,桃園市,734366,373444,122583,81508,101418,5945,25157,2518,9537,75,172,12009
109年,臺中市,578525,315812,98383,78096,41763,3505,5849,2628,2373,170,5622,24324
109年,臺南市,549139,273094,119032,61912,57899,6050,5225,3120,2339,180,185,20104
109年,高雄市,761442,414048,127633,54590,54785,33717,30837,4369,6356,159,101,34848
109年,宜蘭縣,106585,45264,25598,18051,9384,1444,1611,628,460,35,329,3781
109年,新竹縣,136285,59665,40783,16795,14010,325,1413,1255,454,21,28,1535
109年,苗栗縣,114211,46764,24972,17419,13536,1511,4361,581,480,41,15,4532
109年,彰化縣,308338,119911,47949,83151,22727,4442,12557,916,1148,2319,3296,9923
109年,南投縣,108411,49444,26585,17239,9257,392,1688,495,359,117,869,1966
109年,雲林縣,126792,45456,41725,12726,10917,393,6205,3360,1202,270,462,4076
109年,嘉義縣,112498,41212,31918,20792,8389,4362,1896,235,216,183,35,3259
109年,屏東縣,178799,66581,46170,30767,17199,2885,6319,3261,914,318,42,4344
109年,臺東縣,55560,18904,14190,14598,6619,35,451,136,48,141,252,185
109年,花蓮縣,80345,39299,11245,13851,10056,48,3360,422,251,19,984,811
109年,澎湖縣,22167,12564,5227,1901,1244,2,411,43,152,0,153,470
109年,基隆市,110021,65452,23874,10109,7011,324,1904,172,483,2,104,586
109年,新竹市,111214,78904,7934,8048,5933,2852,894,1110,418,3,111,5006
109年,嘉義市,72090,20691,28302,12253,3163,828,1229,668,1149,49,515,3243
109年,金門縣,16579,9231,2370,2137,731,9,343,228,94,1,71,1364
109年,連江縣,3156,916,737,326,127,27,237,48,31,8,28,671
